Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-09-24 03:44:13Z : PB = 240447488 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-09-24 03:44:13Z : PB = 240488448 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-09-24 03:44:13Z : PB = 241111040 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\大學三年級\111-1-Windows-Programming\HW1\debug.log
2022-09-24 03:44:17Z : PB = 242360320 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-09-24 03:44:17Z : PB = 243380224 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-09-24 03:44:17Z : PB = 243777536 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-09-24 03:44:17Z : PB = 244293632 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2022-09-24 03:44:17Z : PB = 244318208 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2022-09-24 03:44:17Z : PB = 242929664 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-09-24 03:44:17Z : PB = 242937856 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-09-24 03:44:17Z : PB = 242950144 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-24 03:44:17Z : PB = 242970624 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-24 03:44:18Z : PB = 243286016 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-24 03:44:18Z : PB = 243286016 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-24 03:44:18Z : PB = 243306496 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-24 03:44:18Z : PB = 247017472 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-24 03:44:18Z : PB = 247017472 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-24 03:44:18Z : PB = 247037952 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-24 03:44:18Z : PB = 247037952 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-24 03:44:18Z : PB = 247037952 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-24 03:44:18Z : PB = 247074816 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-24 03:44:18Z : PB = 247074816 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-24 03:44:18Z : PB = 247074816 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-24 03:44:18Z : PB = 250208256 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-24 03:44:18Z : PB = 250208256 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-24 03:44:18Z : PB = 250208256 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-24 03:44:18Z : PB = 250208256 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-24 03:44:18Z : PB = 250208256 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-24 03:44:18Z : PB = 250216448 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-24 03:44:18Z : PB = 250216448 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-09-24 03:44:18Z : PB = 250216448 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-09-24 03:44:18Z : PB = 253665280 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-09-24 03:44:18Z : PB = 253665280 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-09-24 03:44:18Z : PB = 253665280 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-09-24 03:44:18Z : PB = 253665280 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-09-24 03:44:18Z : PB = 253665280 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-09-24 03:44:18Z : PB = 253665280 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-09-24 03:44:18Z : PB = 253665280 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
