Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-12-01 16:09:36Z : PB = 370659328 : In   : ---------------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-12-01 16:09:36Z : PB = 370708480 : Out  : ---------------------------- StyleCop.StyleCopCore..ctor()
2022-12-01 16:09:36Z : PB = 371355648 : Out  : ------------------------- StyleCop.StyleCopCore.Initialize()
C:\Users\User\Documents\AA\111-1-Windows-Programming\HW6\DrawingModel\debug.log
2022-12-01 16:09:38Z : PB = 373628928 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2022-12-01 16:09:39Z : PB = 373776384 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2022-12-01 16:09:39Z : PB = 374497280 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2022-12-01 16:09:39Z : PB = 374497280 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 2])
2022-12-01 16:09:39Z : PB = 374710272 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 2], ignoreCache=True, settingsPath=<null>)
2022-12-01 16:09:39Z : PB = 374788096 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2022-12-01 16:09:39Z : PB = 374792192 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2022-12-01 16:09:39Z : PB = 374800384 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 374820864 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:39Z : PB = 375062528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:39Z : PB = 375066624 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:39Z : PB = 375083008 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:39Z : PB = 380428288 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:39Z : PB = 380428288 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:39Z : PB = 380452864 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:39Z : PB = 380452864 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 380452864 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:39Z : PB = 380551168 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:39Z : PB = 380551168 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:39Z : PB = 380551168 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:39Z : PB = 385069056 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:39Z : PB = 385069056 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:39Z : PB = 385069056 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:39Z : PB = 385069056 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 385069056 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:39Z : PB = 385646592 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:39Z : PB = 385646592 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-12-01 16:09:39Z : PB = 385646592 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-12-01 16:09:39Z : PB = 392298496 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-12-01 16:09:39Z : PB = 392298496 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-12-01 16:09:39Z : PB = 392302592 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-12-01 16:09:39Z : PB = 392302592 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-12-01 16:09:39Z : PB = 392302592 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-12-01 16:09:39Z : PB = 392306688 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-12-01 16:09:39Z : PB = 392306688 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
